409A,2025/09/25,1863,2262,1853,1950,34834.1015625
409A,2025/09/26,1950,1965,1701,1750,38299.1015625
409A,2025/09/29,1710,1718,1635,1650,7161.5
409A,2025/09/30,1676,1767,1653,1754,7033.5
409A,2025/10/01,1799,1799,1690,1690,3617.40014648438
409A,2025/10/02,1683,1701,1630,1630,2149.19995117188
409A,2025/10/03,1620,1622,1548,1548,2234.19995117188
409A,2025/10/06,1510,1535,1465,1474,2674.69995117188
409A,2025/10/07,1471,1555,1460,1527,2399
409A,2025/10/08,1550,1700,1540,1700,4500.5
409A,2025/10/09,1678,1708,1620,1695,2399.80004882813
409A,2025/10/10,1666,1685,1586,1596,1589.5
409A,2025/10/14,1574,1603,1531,1554,1179.59997558594
409A,2025/10/15,1558,1590,1545,1557,710.299987792969
409A,2025/10/16,1580,1595,1523,1529,939.700012207031
409A,2025/10/17,1530,1575,1514,1540,634
409A,2025/10/20,1587,1616,1550,1550,813.5
409A,2025/10/21,1564,1599,1552,1569,551.5
409A,2025/10/22,1567,1615,1555,1562,674.400024414063
409A,2025/10/23,1556,1610,1547,1605,570.299987792969
409A,2025/10/24,1600,1649,1586,1590,806.900024414063
409A,2025/10/27,1595,1615,1573,1584,640.299987792969
409A,2025/10/28,1577,1615,1576,1595,560
409A,2025/10/29,1585,1604,1572,1572,505.800018310547
409A,2025/10/30,1570,1618,1550,1618,3371.69995117188
409A,2025/10/31,1605,1622,1583,1620,728.299987792969
409A,2025/11/04,1617,1618,1576,1588,358.100006103516
409A,2025/11/05,1572,1623,1572,1595,409.800018310547
409A,2025/11/06,1586,1616,1583,1597,429.399993896484
409A,2025/11/07,1590,1595,1573,1581,262.700012207031
409A,2025/11/10,1595,1655,1592,1653,694
409A,2025/11/11,1650,1650,1604,1617,311.800018310547
409A,2025/11/12,1618,1636,1608,1636,369.899993896484
409A,2025/11/13,1611,1628,1569,1621,666.900024414063
409A,2025/11/14,1596,1622,1550,1567,825.600036621094
409A,2025/11/17,1567,1574,1530,1550,460.899993896484
409A,2025/11/18,1526,1540,1502,1505,555.400024414063
409A,2025/11/19,1526,1533,1482,1492,730
409A,2025/11/20,1500,1507,1483,1499,448.899993896484
409A,2025/11/21,1499,1512,1486,1486,371.200012207031
409A,2025/11/25,1504,1505,1433,1444,1007.79998779297
409A,2025/11/26,1431,1454,1423,1446,585.400024414063
409A,2025/11/27,1444,1474,1443,1474,394.800018310547
409A,2025/11/28,1474,1483,1446,1456,459.100006103516
409A,2025/12/01,1458,1461,1421,1432,610.100036621094
409A,2025/12/02,1421,1428,1392,1400,857.700012207031
409A,2025/12/03,1392,1396,1369,1370,737.799987792969
409A,2025/12/04,1370,1373,1335,1336,1060.09997558594
409A,2025/12/05,1335,1342,1318,1328,680.900024414063
409A,2025/12/08,1323,1339,1319,1321,616.299987792969
409A,2025/12/09,1318,1322,1297,1307,877.799987792969
409A,2025/12/10,1306,1317,1298,1306,477.800018310547
409A,2025/12/11,1306,1312,1298,1299,468.800018310547
409A,2025/12/12,1306,1335,1306,1323,488.100006103516
409A,2025/12/15,1326,1344,1325,1331,365.300018310547
409A,2025/12/16,1332,1336,1283,1293,1018.79998779297
409A,2025/12/17,1299,1302,1277,1286,574
409A,2025/12/18,1289,1318,1288,1293,542.600036621094
409A,2025/12/19,1310,1312,1286,1302,533.400024414063
409A,2025/12/22,1302,1312,1281,1281,573
409A,2025/12/23,1280,1307,1275,1305,556.799987792969
409A,2025/12/24,1301,1307,1294,1295,525.5
409A,2025/12/25,1300,1304,1291,1296,481.200012207031
409A,2025/12/26,1295,1303,1291,1299,813.5
409A,2025/12/29,1302,1308,1287,1308,475.899993896484
409A,2025/12/30,1307,1310,1295,1300,234.699996948242
