約定履歴照会 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了,,,,,,,,
すべての商品,2024年12月5日,2026年1月4日,273,1,273,,,,,,,,
,,,,,,,,,,,,,
（注）明細数はご指定された期間の合計です。,,,,,,,,,,,,,
,,,,,,,,,,,,,
約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
2025/10/3,ＡＬＳＯＫ,2331,東証,信用返済買,6ヶ月, 特定 ,申告,100,1091.5,260,--,2025/10/7,4240
2025/10/6,ＡＬＳＯＫ,2331,東証,信用新規買,6ヶ月, 特定 ,--,200,1105,--,--,2025/10/8,--
2025/10/6,ＡＬＳＯＫ,2331,東証,信用返済買,6ヶ月, 特定 ,申告,100,1105,245,--,2025/10/8,1905
2025/10/7,ＡＬＳＯＫ,2331,東証,信用返済売,6ヶ月, 特定 ,申告,100,1096.5,254,--,2025/10/9,-9254
2025/10/7,ＡＬＳＯＫ,2331,東証,信用返済売,6ヶ月, 特定 ,申告,200,1096.5,33,--,2025/10/9,-1733
2025/10/23,大平洋金属,5541,東証,信用新規買,6ヶ月, 特定 ,--,200,2041,--,--,2025/10/27,--
2025/10/27,大平洋金属,5541,東証,信用新規買,6ヶ月, 特定 ,--,300,2073,--,--,2025/10/29,--
2025/10/28,大平洋金属,5541,東証,信用新規売,6ヶ月, 特定 ,--,300,1990,--,--,2025/10/30,--
2025/10/30,大平洋金属,5541,東証,信用新規買,6ヶ月, 特定 ,--,200,2016,--,--,2025/11/4,--
2025/11/4,大平洋金属,5541,PTS（X）,信用新規売,6ヶ月, 特定 ,--,100,2181.2,--,--,2025/11/6,--
2025/11/4,大平洋金属,5541,東証,信用新規買,6ヶ月, 特定 ,--,200,2188,--,--,2025/11/6,--
2025/11/4,大平洋金属,5541,東証,信用新規買,6ヶ月, 特定 ,--,200,2117,--,--,2025/11/6,--
2025/11/7,大平洋金属,5541,東証,信用返済売,6ヶ月, 特定 ,申告,200,2088,247,--,2025/11/11,14153
2025/11/7,大平洋金属,5541,東証,信用返済売,6ヶ月, 特定 ,申告,200,2088,501,--,2025/11/11,8899
2025/11/7,大平洋金属,5541,東証,信用返済売,6ヶ月, 特定 ,申告,100,2088,222,--,2025/11/11,1278
2025/11/10,大平洋金属,5541,東証,信用新規買,6ヶ月, 特定 ,--,200,2178,--,--,2025/11/12,--
2025/11/10,大平洋金属,5541,東証,信用返済買,6ヶ月, 特定 ,申告,100,2178,46,--,2025/11/12,274
2025/11/12,大平洋金属,5541,東証,信用新規買,6ヶ月, 特定 ,--,200,2200,--,--,2025/11/14,--
2025/11/13,大平洋金属,5541,東証,信用新規買,6ヶ月, 特定 ,--,200,2274,--,--,2025/11/17,--
2025/11/17,大平洋金属,5541,東証,信用返済売,6ヶ月, 特定 ,申告,100,2263,234,--,2025/11/19,7266
2025/11/17,大平洋金属,5541,東証,信用返済売,6ヶ月, 特定 ,申告,200,2263,104,--,2025/11/19,-2304
2025/11/17,大平洋金属,5541,東証,信用返済売,6ヶ月, 特定 ,申告,200,2263,202,--,2025/11/19,12398
2025/11/18,大平洋金属,5541,東証,信用返済売,6ヶ月, 特定 ,申告,200,2195,731,--,2025/11/20,23669
2025/11/18,大平洋金属,5541,東証,信用返済売,6ヶ月, 特定 ,申告,200,2195,487,--,2025/11/20,15113
2025/11/20,大平洋金属,5541,東証,信用新規買,6ヶ月, 特定 ,--,200,2245,--,--,2025/11/25,--
2025/11/25,大平洋金属,5541,東証,信用新規買,6ヶ月, 特定 ,--,200,2306,--,--,2025/11/27,--
2025/12/1,大平洋金属,5541,東証,信用新規売,6ヶ月, 特定 ,--,200,2382,--,--,2025/12/3,--
2025/12/1,大平洋金属,5541,東証,信用返済売,6ヶ月, 特定 ,申告,200,2382,735,--,2025/12/3,40065
2025/12/1,大平洋金属,5541,東証,信用返済売,6ヶ月, 特定 ,申告,100,2382,469,--,2025/12/3,18931
2025/12/1,大平洋金属,5541,東証,信用返済売,6ヶ月, 特定 ,申告,100,2382,154,--,2025/12/3,13546
2025/12/2,大平洋金属,5541,東証,信用新規売,6ヶ月, 特定 ,--,200,2302,--,--,2025/12/4,--
2025/12/2,大平洋金属,5541,PTS（X）,信用返済売,6ヶ月, 特定 ,申告,100,2294.9,172,--,2025/12/4,4818
2025/12/2,大平洋金属,5541,東証,信用新規買,6ヶ月, 特定 ,--,100,2302,--,--,2025/12/4,--
2025/12/4,大平洋金属,5541,東証,信用新規買,6ヶ月, 特定 ,--,300,2319,--,--,2025/12/8,--
2025/12/4,大平洋金属,5541,東証,信用返済買,6ヶ月, 特定 ,申告,200,2319,86,--,2025/12/8,12514
2025/12/4,大平洋金属,5541,東証,信用返済買,6ヶ月, 特定 ,申告,100,2319,34,--,2025/12/8,-1734
2025/12/5,大平洋金属,5541,東証,信用新規買,6ヶ月, 特定 ,--,100,2330,--,--,2025/12/9,--
2025/12/5,大平洋金属,5541,東証,信用返済買,6ヶ月, 特定 ,申告,100,2330,41,--,2025/12/9,-2841
2025/12/9,大平洋金属,5541,東証,信用新規売,6ヶ月, 特定 ,--,300,2285,--,--,2025/12/11,--
2025/12/9,大平洋金属,5541,東証,信用返済売,6ヶ月, 特定 ,申告,100,2285,265,--,2025/12/11,-2365
2025/12/9,大平洋金属,5541,東証,信用返済売,6ヶ月, 特定 ,申告,100,2285,141,--,2025/12/11,-1841
2025/12/24,大平洋金属,5541,東証,信用新規売,6ヶ月, 特定 ,--,300,2165,--,--,2025/12/26,--
2025/12/24,大平洋金属,5541,PTS（X）,信用返済買,6ヶ月, 特定 ,申告,100,2229.5,110,--,2025/12/26,5440
2025/12/24,大平洋金属,5541,PTS（O）,信用返済買,6ヶ月, 特定 ,申告,100,2229.3,110,--,2025/12/26,5460
2025/12/24,大平洋金属,5541,PTS（X）,信用返済買,6ヶ月, 特定 ,申告,100,2229.3,110,--,2025/12/26,5460
2025/12/25,大平洋金属,5541,東証,信用新規買,6ヶ月, 特定 ,--,200,2217,--,--,2025/12/29,--
2025/12/30,大平洋金属,5541,PTS（O）,信用新規売,6ヶ月, 特定 ,--,100,2267.8,--,--,2026/1/6,--
2025/12/30,大平洋金属,5541,PTS（X）,信用返済売,6ヶ月, 特定 ,申告,100,2269.4,153,--,2026/1/6,5087
2025/12/30,大平洋金属,5541,PTS（X）,信用返済売,6ヶ月, 特定 ,申告,100,2251.5,153,--,2026/1/6,3297
2025/12/30,大平洋金属,5541,東証,信用新規買,6ヶ月, 特定 ,--,100,2266,--,--,2026/1/6,--
2025/12/30,大平洋金属,5541,東証,信用返済買,6ヶ月, 特定 ,申告,100,2266,6,--,2026/1/6,174
